,YEAR,STATE NAME,DISTRICT NAME,TOTAL POULATION,PERCENTAGE URBAN POPULATION,0-6 POPULATION,GROWTH RATE,SEX RATIO,PERCENTAGE SC POPULATION,PERCENTAGE ST POPULATION,OVERALL LITERACY,FEMALE LITERACY,MALE LITERACY,AREA (SQ. KM) (AREA SQKM),AGE GROUP 6 TO 10 (TOT 6 10 15),AGE GROUP 11 TO 13 (TOT 11 13 15),PRIMARY ONLY (SCH1),PRIMARY WITH UPPER PRIMARY (SCH2)
0,2015-16,JAMMU AND KASHMIR,KUPWARA,875564,11.33,197001.9,34.62,843,0.12,8.08,66.92,54.79,77.1,2379,135672,72701,1107,818
1,2015-16,JAMMU AND KASHMIR,BARAMULA,1015503,17.19,161871.18,20.34,873,0.15,3.74,66.93,55.01,77.35,4243,117874,70952,1215,825
2,2015-16,JAMMU AND KASHMIR,SRINAGAR,1269751,98.73,155798.45,23.56,879,0.09,0.72,71.21,63.47,77.95,1979,113560,62397,258,417
3,2015-16,JAMMU AND KASHMIR,BADGAM,735753,11.74,150755.79,21.18,883,0.05,3.17,57.98,46.6,68.56,1361,118477,58838,755,537
4,2015-16,JAMMU AND KASHMIR,PULWAMA,570060,13.8,97651.28,29.18,913,0.07,4.03,65,53.81,75.41,1086,64493,30166,532,339
5,2015-16,JAMMU AND KASHMIR,ANANTNAG,1070144,26.04,206323.76,37.48,937,0.17,10.75,64.32,54.15,74.13,3574,150600,78343,779,869
6,2015-16,JAMMU AND KASHMIR,LEH (LADAKH),147104,42.96,11812.45,25.48,583,0.37,71.81,80.48,64.52,89.39,45110,9066,5260,176,145
7,2015-16,JAMMU AND KASHMIR,KARGIL,143388,8.89,20404.11,20.18,775,0.01,86.89,74.49,58.05,86.73,14036,15468,8377,229,289
8,2015-16,JAMMU AND KASHMIR,DODA,409576,7.95,71020.48,27.89,922,13.03,9.57,65.97,50.34,80.36,8912,52488,28512,756,533
9,2015-16,JAMMU AND KASHMIR,UDHAMPUR,555357,19.72,82637.12,20.86,863,24.97,10.15,69.9,58.22,79.93,2637,61091,35880,983,557
10,2015-16,JAMMU AND KASHMIR,PUNCH,476820,8.1,84111.05,27.97,890,0.12,36.93,68.69,54.8,81.04,1674,64075,33597,1037,530
11,2015-16,JAMMU AND KASHMIR,RAJAURI,619266,7.09,118527.51,28.14,863,7.5,36.24,68.54,57.2,78.38,2630,81895,43716,1112,634
12,2015-16,JAMMU AND KASHMIR,JAMMU,1526406,49.65,159814.71,12.48,871,24.71,4.52,83.98,77.41,89.77,2342,121628,76166,1078,690
13,2015-16,JAMMU AND KASHMIR,KATHUA,615711,14.38,80165.57,20.38,877,22.91,8.65,73.5,64.56,81.4,2502,61407,37816,989,501
14,2015-16,JAMMU AND KASHMIR,SHOPIAN,265960,5.62,40266.34,25.85,951,0.02,8.2,62.49,52.77,71.86,312,28786,17229,349,209
15,2015-16,JAMMU AND KASHMIR,BANDIPORA,385099,16.89,60306.5,26.31,911,0.1,19.22,57.82,46.24,68.41,345,46005,27160,401,379
16,2015-16,JAMMU AND KASHMIR,KISHTWAR,231037,6.42,39114.56,21.06,917,6.2,16.54,58.54,44.13,71.75,1644,29055,16451,470,324
17,2015-16,JAMMU AND KASHMIR,RAMBAN,283313,4.16,54736.07,31.81,901,4.91,14.02,56.9,40.04,71.97,1329,41326,21287,554,279
18,2015-16,JAMMU AND KASHMIR,GANDERBAL,297003,15.76,50549.91,36.3,869,0.04,20.53,59.99,47.62,70.74,259,37151,21439,372,214
19,2015-16,JAMMU AND KASHMIR,KULGAM,422786,18.77,70309.31,7.3,951,0.01,6.25,60.35,49.74,70.58,410,48981,26493,424,450
20,2015-16,JAMMU AND KASHMIR,REASI,314714,8.49,55798.79,27.06,891,12,28.08,59.42,47.55,69.93,1719,40695,22639,711,389
21,2015-16,JAMMU AND KASHMIR,SAMBA,318611,16.83,38010.29,16.9,886,28.8,5.51,82.48,74.39,89.76,904,27998,17533,317,225
