rank,name,review,rated_excellent,rated_very_good,rated_average,rated_poor,rated_terrible,rating,price_range
1,Latest Recipe,790,713,54,5,4,3,5,"₹812 - ₹2,031"
2,Mosaic,"1,257","1,136",75,19,4,5,5,"₹1,000 - ₹1,500"
3,Masala,646,554,57,19,5,5,5,"₹406 - ₹1,625"
4,Zoka,729,639,55,14,4,6,5,"₹750 - ₹15,000"
5,Thai Soul,479,444,27,3,1,3,5,"₹1,100 - ₹1,300"
6,Sky Grill,808,690,82,15,3,2,5,NaN
7,Malabar Cafe,357,328,23,2,4,1,5,"₹950 - ₹1,500"
8,Tharavadu Restaurant by Casino hotel,205,182,20,1,1,1,5,"₹450 - ₹1,000"
9,Colony Clubhouse & Grill,546,513,25,7,1,3,5,"₹4,500 - ₹6,000"
10,Momo Cafe,533,462,50,9,0,6,5,"₹600 - ₹1,200"
11,Cassava,376,329,34,5,2,3,5,"₹500 - ₹3,000"
12,Kochi Kitchen,664,580,61,9,3,7,5,"₹1,000 - ₹2,000"
13,Ciao Cochin,271,229,36,8,0,0,5,"₹650 - ₹2,437"
14,Grand Lounge,77,72,5,0,0,0,5,NaN
15,Rasoi Fort Kochi,352,216,30,9,0,1,5,₹300 - ₹750
16,The Rice Boat,279,201,49,7,3,3,4.5,NaN
17,Lilliput Multi Cuisine Restaurant,499,318,78,20,4,10,4.5,₹150 - ₹300
18,Farmers Cafe,491,315,60,17,6,3,4.5,₹150 - ₹550
19,The Asian Kitchen by Tokyo Bay,414,266,77,17,8,7,4.5,NaN
20,Warehouse Cafe & Restaurant,331,224,37,15,10,8,4.5,"₹250 - ₹1,000"
21,Mary’s Kitchen,431,250,80,17,7,7,4.5,NaN
22,Old Harbour Hotel Restaurant,781,370,175,46,18,19,4.5,NaN
23,Dhe Puttu,749,418,228,70,15,18,4.5,₹150 - ₹250
24,Chilliout Cafe Cherai beach,510,267,102,29,12,11,4.5,₹15 - ₹950
25,Kashi,"1,682",846,492,105,29,25,4.5,NaN
26,Fort House Restaurant,478,230,125,32,12,13,4.5,NaN
27,Oceanos Restaurant,"1,635",749,435,126,36,19,4.5,₹244 - ₹812
28,Fort Kochi Seafood Restaurant,186,100,55,11,6,3,4.5,₹406 - ₹812
29,fusion Bay,"1,175",570,289,84,26,16,4.5,₹70 - ₹450
30,Brindhavan Restaurant,281,127,122,25,1,5,4.5,NaN
31,Tibetan Chefs Restaurant,427,142,127,24,10,9,4.5,NaN
32,Casa Linda,311,169,73,18,7,3,4.5,NaN
33,"Pizzeria ""Pizza Italia""",235,125,40,7,8,3,4.5,NaN
34,Restaurant 51,194,128,39,5,7,3,4.5,"₹800 - ₹1,000"
35,Grand Pavilion,594,245,247,40,20,19,4,NaN
36,Pepper House Cafe,298,143,85,23,5,6,4.5,₹406 - ₹650
37,Punjab House Restaurant,159,84,53,9,2,2,4.5,NaN
38,East Indies,154,99,24,13,2,0,4.5,NaN
39,Paragon Restaurant,863,363,341,95,28,30,4,NaN
40,Malabar Junction,536,211,124,70,37,16,4,"₹500 - ₹1,000"
41,Aroma Lounge & Deli,93,82,6,1,1,0,5,NaN
42,Deli KC,66,58,5,2,0,1,5,NaN
43,Solar Cafe,133,77,31,5,1,0,4.5,₹40 - ₹300
44,Ginger House,434,148,148,49,14,17,4,"₹350 - ₹1,300"
45,Barbeque Nation,170,90,59,15,2,2,4.5,NaN
46,Pai Dosa,333,116,137,65,5,9,4,NaN
47,Sri Krishna Cafe,148,79,39,12,3,0,4.5,NaN
48,Brunton Boatyard,227,114,51,30,5,7,4.5,NaN
49,Hotel Seagull,628,213,225,62,35,48,4,NaN
50,Brindhavan Veg Restaurant,114,55,51,5,0,2,4.5,NaN
51,Mocha Art Cafe,123,86,20,5,3,3,4.5,₹14 - ₹850
52,Loving Earth Yoga Cafe,65,50,8,5,0,0,4.5,NaN
53,Longitude 76,46,42,4,0,0,0,5,NaN
54,Rose Garden Restaurant,256,138,44,9,7,16,4.5,NaN
55,ConneXions Bar,67,53,10,2,0,1,4.5,NaN
56,Cocoa Tree - MG Road Kochi,181,82,74,18,2,5,4,NaN
57,The Burger Junction,97,51,36,8,0,1,4.5,NaN
58,Bubble Cafe,201,88,70,24,11,2,4,NaN
59,Cafe17,77,50,21,3,1,0,4.5,₹150 - ₹250
60,Cafe Crafters,96,41,28,8,0,0,4.5,NaN
61,Kayees Rahmathullah Hotel Restaurant,255,89,102,38,12,9,4,NaN
62,BTH Sarovaram Restaurant,268,77,124,44,9,12,4,₹150 - ₹250
63,Uruli,54,42,7,4,1,0,4.5,NaN
64,Mullapanthal Toddy Shop,167,66,71,21,3,6,4,NaN
65,Master's Art Cafe,59,40,6,2,0,0,5,₹100 - ₹200
66,Sree Krishna Inn,181,58,82,30,4,5,4,NaN
67,Gokul Oottupura,143,38,85,14,2,3,4,NaN
68,Pai Brothers Fast Food,138,52,61,21,0,3,4,NaN
69,Keshia,44,30,10,2,1,0,4.5,"₹13 - ₹1,000"
70,Stadia,36,32,2,1,1,0,5,NaN
71,Hotel Saravana Bhavan Restaurant,108,35,55,14,1,2,4,NaN
72,Taberna,53,47,2,2,1,0,5,"₹1,000 - ₹3,000"
73,Sethi Da Dhaba,131,54,52,13,7,5,4,₹350 - ₹500
74,"The Drawing Room, Kochi",102,51,29,11,2,4,4.5,NaN
75,Bristow's Bistro at The Old Lighthouse Bristow Hotel,135,64,31,19,6,3,4,NaN
76,Lokah Restaurant & Cafe,154,47,76,23,2,4,4,"₹300 - ₹1,000"
77,Vivanta by Taj Restaurant,86,47,26,4,2,2,4.5,NaN
78,Nawras Authentic Seafood Restaurant,168,78,55,13,6,12,4,"₹70 - ₹10,000"
79,Periyar restaurant,65,36,25,2,0,1,4.5,NaN
80,Sardarji Ka Dhaba,132,53,48,20,5,6,4,NaN
81,Bench Restocafe,51,25,13,4,1,1,4.5,NaN
82,Upstairs Italian Restaurant,368,116,88,47,29,31,4,NaN
83,Nasi and Mee,50,27,16,2,2,1,4.5,NaN
84,East India Street Cafe,49,27,12,1,1,1,4.5,"₹200 - ₹2,500"
85,The Eatery,34,25,6,2,1,0,4.5,"₹200 - ₹1,500"
86,Fresh Choice Restaurant,79,43,17,2,4,3,4.5,NaN
87,Aavi restaurant,103,46,36,16,2,3,4,₹50 - ₹500
88,Cheenavala Seafood Restaurant,79,40,24,9,0,6,4,"₹20 - ₹1,000"
89,Punjab Grill Kochi,44,24,14,4,2,0,4.5,"₹1,62,496 - ₹2,03,120"
90,Hotel Anugraha,73,20,40,12,1,0,4,NaN
91,Seafood Harbour,130,49,46,10,2,8,4,"₹200 - ₹1,000"
92,Menorah Restaurant at Koder House,170,44,54,35,10,5,4,"₹812 - ₹1,219"
93,Galito's,58,23,25,5,1,1,4.5,NaN
94,Cafe Bridge Inn,36,28,4,1,1,0,4.5,NaN
95,Chopstix,126,42,54,18,6,5,4,₹300 - ₹500
96,Big Fat Momo,49,31,12,2,1,1,4.5,₹150 - ₹200
97,The Yellow Chilli,64,28,24,7,3,2,4,NaN
98,fish 'n' chips,62,33,16,2,2,0,4.5,NaN
99,Taj Mahal,47,27,8,1,2,0,4.5,NaN
100,Aangan Downtown,43,27,9,3,0,1,4.5,₹90 - ₹900
101,Thakkaram,116,36,50,21,6,3,4,NaN
102,Ali Baba And 41 Dishes,184,34,85,46,7,10,3.5,NaN
103,Kareemsait's Biriyani,18,18,0,0,0,0,5,₹150 - ₹300
104,Saffron,45,25,6,3,1,0,4.5,NaN
105,Shree Ganesha Restaurant,33,20,7,0,1,0,4.5,NaN
106,Spice Root Restaurant,34,16,9,4,0,0,4.5,NaN
107,French Toast,52,29,16,4,1,2,4.5,"₹100 - ₹1,000"
108,Kayees Rahmathulla Cafe,46,24,16,2,0,1,4.5,NaN
109,Little Soi,25,16,8,0,1,0,4.5,₹250 - ₹400
110,Ambiswamy's,41,14,25,1,0,1,4,NaN
111,Tellicherry Kitchen,33,23,4,3,3,0,4.5,₹300 - ₹500
112,Rice N Fish,59,22,30,3,2,2,4,NaN
113,Wok & Grill,61,20,32,4,2,2,4,₹250 - ₹600
114,Jetty at Forte Kochi,33,19,10,0,0,1,4.5,₹350 - ₹750
115,Hotel Lucky Star,35,14,13,0,2,0,4.5,NaN
116,P J Princess Regency,43,21,14,4,1,0,4.5,NaN
117,Mainland China,120,41,51,11,9,7,4,NaN
118,East India Company,73,22,34,15,2,0,4,NaN
119,Tandoor Restaurant,152,40,70,18,6,13,4,₹160 - ₹650
120,MASH Restocafe Panampilly Nagar,44,15,26,1,1,1,4,₹5 - ₹200
121,Nila Restaurant,94,26,42,18,4,3,4,NaN
122,Springs,77,27,33,11,4,1,4,NaN
123,Tissa's Inn Restaurant,35,18,10,0,2,0,4.5,NaN
124,Fort Bridge View Restaurant,44,24,13,1,1,1,4.5,NaN
125,Golden Dragon Restaurant,82,22,38,17,1,3,4,NaN
126,Arippa Restaurant,61,24,26,4,1,5,4,NaN
127,District 7 Restro Cafe - Vyttila Ernakulam,28,13,11,2,0,0,4.5,₹60 - ₹499
128,Pandari's Biriyani,29,13,12,4,0,0,4.5,NaN
129,Ambiswamy's,111,29,41,27,7,7,3.5,NaN
130,Raintree Multi Cuisine Restaurant,112,46,28,9,10,11,4,"₹100 - ₹1,000"
131,Veda Wellness Cafe,21,15,3,1,0,0,5,NaN
132,Pepper,28,13,9,1,0,0,4.5,"₹1,300 - ₹2,600"
133,Slice of Spice,29,19,9,0,0,1,4.5,NaN
134,Tibet Kitchen,36,12,12,4,1,1,4,₹110 - ₹250
135,Ootupura,70,18,38,11,1,2,4,NaN
136,"Kadaloram Restaurant, Abad Plaza",36,9,24,3,0,0,4,NaN
137,Classic Art Cafe,26,16,5,1,2,0,4.5,₹80 - ₹600
138,Uncle's Restaurant,26,14,9,1,0,1,4.5,NaN
139,Palace Food Court,95,34,32,13,3,11,4,NaN
140,Thakkaaram,82,22,39,14,3,4,4,NaN
141,Indian Coffee House,32,6,23,1,0,0,4,NaN
142,Ceylon Bake House,86,12,57,10,2,5,4,NaN
143,No. 18 Hotel Restaurant,31,17,8,0,2,1,4.5,NaN
144,Kaikka's,43,18,21,3,1,0,4.5,NaN
145,Los Angeles Cafe Fort Kochi,13,12,0,0,0,0,5,NaN
